BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_PER_BED,PRICE_PER_PROPERTYSQFT
Brokered by C J Robin's Real Estate,Condo for sale,320000,2,2.0,936.0,The Bronx,40.8236857,-73.8611313,160000.0,341.88034188034186
Brokered by RE MAX Edge,Co-op for sale,295000,2,1.0,700.0,Brooklyn,40.6196386,-73.9707307,147500.0,421.42857142857144
Brokered by Spire Group Inc.- Main Office,House for sale,550000,3,2.0,2184.207862,Kings County,40.6498755,-73.9375091,183333.33333333334,251.80753607231543
Brokered by Serhant,Condo for sale,285000,2,1.0,1000.0,The Bronx,40.8362269,-73.8612346,142500.0,285.0
Brokered by Voro Llc,Co-op for sale,328000,1,1.0,800.0,Queens,40.743059,-73.880983,328000.0,410.0
Brokered by Skylux Realty,Multi-family home for sale,1388000,4,3.0,2184.207862,Queens County,40.774158,-73.7957477,347000.0,635.4706546697705
Brokered by EXP Realty,Multi-family home for sale,3000000,10,10.0,2184.207862,Kings County,40.6949321,-73.9928542,300000.0,1373.4956513035386
Brokered by New York Realty Minimax,Multi-family home for sale,2198888,7,6.0,2184.207862,Queens County,40.7032697,-73.9088462,314126.85714285716,1006.7210352345119
Brokered by Howard Hanna | Rand Realty,Multi-family home for sale,650000,6,2.0,2310.0,Bronx County,40.8244358,-73.8633737,108333.33333333333,281.38528138528136
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2.0,890.0,New York,40.7598542,-73.9874427,1100000.0,1235.9550561797753
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4.0,4050.0,Kings County,40.6820924,-73.9393924,529800.0,654.074074074074
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1.0,800.0,Brooklyn,40.6662599,-73.9870141,424500.0,1061.25
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,6500000,2,2.0,2184.207862,New York,40.778004,-73.962547,3250000.0,2975.9072444910003
Brokered by HOULIHAN LAWRENCE - LaGrangeville,Co-op for sale,560000,3,1.0,550.0,New York,40.777244,-73.9868738,186666.66666666666,1018.1818181818181
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2.0,890.0,New York,40.7598542,-73.9874427,1100000.0,1235.9550561797753
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4.0,4050.0,Kings County,40.6820924,-73.9393924,529800.0,654.074074074074
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1.0,800.0,Brooklyn,40.6662599,-73.9870141,424500.0,1061.25
Brokered by RE MAX Elite,Co-op for sale,418888,2,1.0,900.0,Brooklyn,40.6339124,-74.0058434,209444.0,465.43111111111114
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2600000,3,3.0,3978.0,Kings County,40.6083914,-74.0100209,866666.6666666666,653.59477124183
Brokered by Velez Realty Corp,Multi-family home for sale,899000,8,2.0,2160.0,Bronx County,40.8728082,-73.8469489,112375.0,416.2037037037037
Brokered by CENTURY 21 Dawn's Gold Realty,Multi-family home for sale,979000,8,3.0,2860.0,Kings County,40.6597134,-73.9195979,122375.0,342.3076923076923
Brokered by Sbny Re,Co-op for sale,199000,1,1.0,2184.207862,Queens,40.7282899,-73.8472,199000.0,91.10854486980139
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,815000,3,1.0,2184.207862,New York,40.751918,-73.9698335,271666.6666666667,373.1329852707947
Brokered by Signature Premier Properties,Condo for sale,1025000,1,1.0,800.0,New York,40.7712538,-73.950858,1025000.0,1281.25
Brokered by COMPASS,Condo for sale,1375000,1,2.0,920.0,New York,40.7645034,-73.9648503,1375000.0,1494.5652173913043
Brokered by Keller Williams NYC,Condo for sale,875000,3,2.0,1437.0,New York,40.8539526,-73.9345678,291666.6666666667,608.9074460681976
"Brokered by MAXIMILLION REALTY, INC.",Multi-family home for sale,1350000,6,3.0,3000.0,Kings County,40.5902653,-73.9455056,225000.0,450.0
Brokered by Corcoran Williamsburg Bedford,For sale,989000,7,3.0,2184.207862,Kings County,40.6360957,-73.9018295,141285.7142857143,452.7957330463999
Brokered by Scott Dobrin Realty,Multi-family home for sale,815156,4,4.0,2945.0,Richmond County,40.6402659,-74.110402,203789.0,276.7932088285229
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1949000,3,5.0,2560.0,Kings County,40.5813374,-73.9589282,649666.6666666666,761.328125
Brokered by Redfin Real Estate,Multi-family home for sale,669000,5,2.0,1893.0,Queens County,40.5967151,-73.7696424,133800.0,353.4072900158479
Brokered by Fillmore Real Estate,Multi-family home for sale,900500,4,2.0,2184.207862,Kings County,40.6468871,-73.8907758,225125.0,412.2776113329455
"Brokered by CLAS - Classic Marketing, LLC",Co-op for sale,1465000,3,3.0,2184.207862,New York,40.7701914,-73.9590118,488333.3333333333,670.7237097198947
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,899000,3,1.0,1100.0,New York,40.7604194,-73.9968086,299666.6666666667,817.2727272727273
Brokered by COMPASS,Condo for sale,1100000,1,1.0,726.0,New York,40.7078844,-74.0140879,1100000.0,1515.1515151515152
